ortho,phon,lemme,cgram,nombre,freqlemfilms2,islem,syll,cv-cv,logfreq
chose,Soz,chose,NOM,s,1773.62,1,Soz,CVC,7.480777991120158
jour,ZuR,jour,NOM,s,1061.92,1,ZuR,CVC,6.967833963566663
femme,fam,femme,NOM,s,1049.32,1,fam,CVC,6.95589770960796
dieu,dj2,dieu,NOM,s,903.41,1,dj2,CYV,6.806176603144725
fille,fij,fille,NOM,s,841.56,1,fij,CVY,6.7352574311637525
monde,m§d,monde,NOM,s,830.72,1,m§d,CVC,6.722292915013113
besoin,b°zw1,besoin,NOM,s,771.24,1,b°-zw1,CV-CYV,6.647999738832511
accord,akoR,accord,NOM,s,766.2,1,a-koR,V-CVC,6.641443362780766
ami,ami,ami,NOM,s,747.98,1,a-mi,V-CV,6.617376373342502
monsieur,m°sj2,monsieur,NOM,s,739.12,1,m°-sj2,CV-CYV,6.605460424658508
enfant,@f@,enfant,NOM,s,735.59,1,@-f@,V-CV,6.600673034238296
maison,mez§,maison,NOM,s,605.75,1,me-z§,CV-CV,6.4064675247812275
nuit,n8i,nuit,NOM,s,586.54,1,n8i,CYV,6.374241037452797
soir,swaR,soir,NOM,s,575.7,1,swaR,CYVC,6.355586865383329
bonjour,b§ZuR,bonjour,NOM,s,570.57,1,b§-ZuR,CV-CVC,6.346636036424997
peur,p2R,peur,NOM,s,557.21,1,p2R,CVC,6.322942368087387
maman,mam@,maman,NOM,s,540.21,1,ma-m@,CV-CV,6.291958137962704
problème,pRoblem,problème,NOM,s,520.07,1,pRo-blem,CCV-CCVC,6.253963610182041
argent,aRZ@,argent,NOM,s,515.1,1,aR-Z@,VC-CV,6.2443612507085815
raison,Rez§,raison,NOM,s,467.94,1,Re-z§,CV-CV,6.14834029627305
amour,amuR,amour,NOM,s,458.27,1,a-muR,V-CVC,6.1274587482783405
voiture,vwatyR,voiture,NOM,s,429.4,1,vwa-tyR,CYV-CVC,6.062389118327746
question,kestj§,question,NOM,s,411.82,1,kes-tj§,CVC-CYV,6.020586603504506
affaire,afeR,affaire,NOM,s,393.83,1,a-feR,V-CVC,5.975919598022485
frère,fReR,frère,NOM,s,390.39,1,fReR,CCVC,5.967146495610845
travail,tRavaj,travail,NOM,s,389.83,1,tRa-vaj,CCV-CVY,5.9657110031789315
idée,ide,idée,NOM,s,389.77,1,i-de,V-CV,5.965557078128326
famille,famij,famille,NOM,s,384.92,1,fa-mij,CV-CVY,5.953035780282409
truc,tRyk,truc,NOM,s,381.34,1,tRyk,CCVC,5.943691627869442
merci,meRsi,merci,NOM,s,379.38,1,meR-si,CVC-CV,5.938538604886501
chance,S@s,chance,NOM,s,360.6,1,S@s,CVC,5.887769588084764
histoire,istwaR,histoire,NOM,s,359.92,1,is-twaR,VC-CYVC,5.885882062372398
minute,minyt,minute,NOM,s,342.28,1,mi-nyt,CV-CVC,5.835629407708278
