item1,item2,triplet_number,open_biphone_1,closed_biphone,slot_coding,levenshtein,syllable
inspection,expédition,1,0.5263157894736842,0.6363636363636364,0.0,0.6,0.25
inspection,perfection,1,0.5294117647058824,0.6,0.0,0.5555555555555556,0.5555555555555556
expédition,perfection,1,0.42105263157894735,0.5454545454545454,0.1,0.4,0.33333333333333337
précaution,expression,2,0.5625,0.6,0.0,0.4444444444444444,0.36363636363636365
précaution,correction,2,0.6,0.6666666666666666,0.375,0.625,0.33333333333333337
expression,correction,2,0.5,0.6,0.0,0.5555555555555556,0.36363636363636365
tapette,pétasse,3,0.4444444444444444,0.5,0.0,0.19999999999999996,0.0
tapette,peseta,3,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.33333333333333337,0.1428571428571429
pétasse,peseta,3,0.45454545454545453,0.5714285714285714,0.3333333333333333,0.5,0.4285714285714286
disposition,tradition,4,0.4444444444444444,0.5,0.0,0.4,0.36363636363636365
disposition,discrétion,4,0.4444444444444444,0.6,0.3,0.6,0.25
tradition,discrétion,4,0.4117647058823529,0.5,0.0,0.33333333333333337,0.30000000000000004
discussion,condition,5,0.4666666666666667,0.5555555555555556,0.0,0.375,0.375
discussion,disparition,5,0.4444444444444444,0.6,0.3,0.6,0.2727272727272727
condition,disparition,5,0.4444444444444444,0.5,0.0,0.4,0.4
réflexion,direction,6,0.5294117647058824,0.6,0.0,0.5555555555555556,0.5555555555555556
réflexion,exposition,6,0.3684210526315789,0.45454545454545453,0.0,0.30000000000000004,0.25
direction,exposition,6,0.3684210526315789,0.45454545454545453,0.0,0.30000000000000004,0.2727272727272727
météorite,majorité,7,0.4666666666666667,0.5555555555555556,0.125,0.5,0.11111111111111116
météorite,moralité,7,0.26666666666666666,0.4444444444444444,0.125,0.25,0.11111111111111116
majorité,moralité,7,0.4,0.5555555555555556,0.5,0.5,0.5
cervelle,cellule,8,0.36363636363636365,0.5714285714285714,0.3333333333333333,0.5,0.5
cervelle,ficelle,8,0.2727272727272727,0.42857142857142855,0.0,0.33333333333333337,0.33333333333333337
cellule,ficelle,8,0.4444444444444444,0.5,0.2,0.19999999999999996,0.19999999999999996
canard,carrière,9,0.36363636363636365,0.5714285714285714,0.3333333333333333,0.5,0.5
canard,écart,9,0.3333333333333333,0.5,0.0,0.4,0.4
carrière,écart,9,0.36363636363636365,0.42857142857142855,0.0,0.33333333333333337,0.16666666666666663
impasse,patience,10,0.36363636363636365,0.42857142857142855,0.0,0.33333333333333337,0.16666666666666663
impasse,palace,10,0.3333333333333333,0.5,0.0,0.4,0.4
patience,palace,10,0.36363636363636365,0.5714285714285714,0.3333333333333333,0.5,0.5
marbre,mâchoire,11,0.36363636363636365,0.5714285714285714,0.3333333333333333,0.5,0.25
marbre,homard,11,0.4444444444444444,0.5,0.0,0.4,0.5
mâchoire,homard,11,0.2727272727272727,0.42857142857142855,0.0,0.33333333333333337,0.33333333333333337
exception,section,12,0.5714285714285714,0.6666666666666666,0.0,0.625,0.625
exception,sélection,12,0.5333333333333333,0.6666666666666666,0.5,0.5,0.5555555555555556
section,sélection,12,0.6666666666666666,0.7777777777777778,0.25,0.75,0.625
coiffure,futur,13,0.2727272727272727,0.42857142857142855,0.0,0.33333333333333337,0.33333333333333337
coiffure,fureur,13,0.36363636363636365,0.42857142857142855,0.0,0.16666666666666663,0.16666666666666663
futur,fureur,13,0.4444444444444444,0.6666666666666666,0.6,0.6,0.6
tristesse,terroriste,14,0.5333333333333333,0.5555555555555556,0.25,0.375,0.09999999999999998
tristesse,district,14,0.42857142857142855,0.4444444444444444,0.0,0.25,0.33333333333333337
terroriste,district,14,0.4,0.4444444444444444,0.375,0.375,0.19999999999999996
nécessaire,serrure,15,0.4,0.5,0.14285714285714285,0.4285714285714286,0.4285714285714286
nécessaire,ulcère,15,0.4,0.5,0.2857142857142857,0.4285714285714286,0.375
serrure,ulcère,15,0.4444444444444444,0.5,0.2,0.19999999999999996,0.16666666666666663
gloire,poignard,16,0.2727272727272727,0.42857142857142855,0.0,0.33333333333333337,0.25
gloire,armoire,16,0.4,0.5,0.0,0.5,0.2857142857142857
poignard,armoire,16,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.33333333333333337,0.375
