item1,item2,triplet_number,open_biphone_1,closed_biphone,slot_coding,levenshtein,syllable
rayon,pression,1,0.36363636363636365,0.42857142857142855,0.0,0.6666666666666667,0.33333333333333337
rayon,création,1,0.23076923076923078,0.375,0.0,0.5714285714285714,0.125
pression,création,1,0.46153846153846156,0.5,0.2857142857142857,0.7142857142857143,0.33333333333333337
pressentiment,testament,2,0.29411764705882354,0.3,0.0,0.5555555555555556,0.30000000000000004
pressentiment,estime,2,0.29411764705882354,0.3,0.0,0.5555555555555556,0.18181818181818177
testament,estime,2,0.3076923076923077,0.25,0.0,0.5714285714285714,0.375
monstre,maître,3,0.3333333333333333,0.5,0.2,0.6,0.19999999999999996
monstre,maestro,3,0.3076923076923077,0.375,0.14285714285714285,0.5714285714285714,0.09999999999999998
maître,maestro,3,0.3076923076923077,0.25,0.14285714285714285,0.5714285714285714,0.11111111111111116
prochain,approche,4,0.5555555555555556,0.5,0.0,0.6,0.0
prochain,roche,4,0.3333333333333333,0.3333333333333333,0.0,0.6,0.16666666666666663
approche,roche,4,0.4444444444444444,0.5,0.0,0.6,0.4
est,reste,5,0.5714285714285714,0.6,0.0,0.75,0.75
est,texte,5,0.3333333333333333,0.3333333333333333,0.0,0.6,0.19999999999999996
reste,texte,5,0.3333333333333333,0.3333333333333333,0.2,0.6,0.19999999999999996
conviction,explication,6,0.3,0.4166666666666667,0.0,0.5454545454545454,0.25
conviction,complication,6,0.42105263157894735,0.5454545454545454,0.2,0.7,0.2727272727272727
explication,complication,6,0.75,0.6666666666666666,0.0,0.8181818181818181,0.5
droit,endroit,7,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8
droit,roi,7,0.5714285714285714,0.6,0.0,0.75,0.25
endroit,roi,7,0.4444444444444444,0.5,0.0,0.6,0.19999999999999996
écrit,cri,8,0.5714285714285714,0.6,0.0,0.75,0.75
écrit,écurie,8,0.5555555555555556,0.6666666666666666,0.4,0.8,0.33333333333333337
cri,écurie,8,0.3333333333333333,0.3333333333333333,0.0,0.6,0.16666666666666663
vautour,auteur,9,0.3333333333333333,0.3333333333333333,0.0,0.6,0.6
vautour,autre,9,0.3333333333333333,0.3333333333333333,0.0,0.6,0.1428571428571429
auteur,autre,9,0.5714285714285714,0.6,0.5,0.75,0.16666666666666663
victoire,histoire,10,0.5384615384615384,0.5,0.0,0.7142857142857143,0.7142857142857143
victoire,square,10,0.38461538461538464,0.375,0.0,0.5714285714285714,0.25
histoire,square,10,0.45454545454545453,0.42857142857142855,0.0,0.6666666666666667,0.2857142857142857
balai,bracelet,11,0.3076923076923077,0.375,0.14285714285714285,0.5714285714285714,0.2857142857142857
balai,raclée,11,0.3333333333333333,0.3333333333333333,0.2,0.6,0.4
bracelet,raclée,11,0.23076923076923078,0.375,0.0,0.5714285714285714,0.125
rite,orbite,12,0.3333333333333333,0.3333333333333333,0.0,0.6,0.4
rite,frite,12,0.5714285714285714,0.6,0.0,0.75,0.5
orbite,frite,12,0.3333333333333333,0.3333333333333333,0.2,0.6,0.33333333333333337
ours,course,13,0.5714285714285714,0.6,0.0,0.75,0.75
ours,nourrice,13,0.3333333333333333,0.3333333333333333,0.0,0.6,0.1428571428571429
course,nourrice,13,0.3333333333333333,0.3333333333333333,0.4,0.6,0.1428571428571429
maquette,acte,14,0.3333333333333333,0.3333333333333333,0.0,0.6,0.1428571428571429
maquette,pacte,14,0.3333333333333333,0.3333333333333333,0.4,0.6,0.1428571428571429
acte,pacte,14,0.5714285714285714,0.6,0.0,0.75,0.75
offre,chauffeur,15,0.3333333333333333,0.3333333333333333,0.0,0.6,0.1428571428571429
offre,coffre,15,0.5714285714285714,0.6,0.0,0.75,0.75
chauffeur,coffre,15,0.3333333333333333,0.3333333333333333,0.4,0.6,0.1428571428571429
trottoir,territoire,16,0.6,0.5555555555555556,0.125,0.75,0.4444444444444444
trottoir,interrogatoire,16,0.38095238095238093,0.4166666666666667,0.0,0.6363636363636364,0.33333333333333337
territoire,interrogatoire,16,0.42857142857142855,0.5,0.09090909090909091,0.6363636363636364,0.36363636363636365
