item1,item2,triplet_number,open_biphone_1,closed_biphone,slot_coding,levenshtein,syllable
attrape,théâtre,1,0.4444444444444444,0.3333333333333333,0.0,0.19999999999999996,0.1428571428571429
attrape,artère,1,0.4444444444444444,0.16666666666666666,0.2,0.19999999999999996,0.33333333333333337
théâtre,artère,1,0.5555555555555556,0.3333333333333333,0.2,0.19999999999999996,0.0
rapport,propre,2,0.5555555555555556,0.16666666666666666,0.2,0.4,0.2857142857142857
rapport,portail,2,0.36363636363636365,0.2857142857142857,0.0,0.16666666666666663,0.0
propre,portail,2,0.36363636363636365,0.14285714285714285,0.16666666666666666,0.33333333333333337,0.25
perte,prêtre,3,0.6666666666666666,0.16666666666666666,0.4,0.4,0.4
perte,interprète,3,0.4,0.2222222222222222,0.0,0.375,0.2222222222222222
prêtre,interprète,3,0.4666666666666667,0.3333333333333333,0.125,0.375,0.4444444444444444
barbe,abri,4,0.42857142857142855,0.0,0.25,0.25,0.16666666666666663
barbe,arabe,4,0.5714285714285714,0.4,0.25,0.5,0.19999999999999996
abri,arabe,4,0.42857142857142855,0.4,0.25,0.25,0.19999999999999996
enceinte,instinct,5,0.42857142857142855,0.0,0.25,0.25,0.19999999999999996
enceinte,sainteté,5,0.42857142857142855,0.3333333333333333,0.2,0.4,0.0
instinct,sainteté,5,0.42857142857142855,0.0,0.2,0.4,0.4
trompette,patron,6,0.36363636363636365,0.2857142857142857,0.0,0.16666666666666663,0.0
trompette,pétard,6,0.36363636363636365,0.2857142857142857,0.0,0.16666666666666663,0.0
patron,pétard,6,0.4444444444444444,0.16666666666666666,0.4,0.4,0.33333333333333337
espérance,personne,7,0.38461538461538464,0.25,0.0,0.2857142857142857,0.25
espérance,précédent,7,0.46153846153846156,0.125,0.0,0.2857142857142857,0.33333333333333337
personne,précédent,7,0.38461538461538464,0.125,0.2857142857142857,0.2857142857142857,0.33333333333333337
sous-titre,mystère,8,0.36363636363636365,0.14285714285714285,0.16666666666666666,0.16666666666666663,0.1428571428571429
sous-titre,touriste,8,0.36363636363636365,0.0,0.3333333333333333,0.33333333333333337,0.33333333333333337
mystère,touriste,8,0.36363636363636365,0.2857142857142857,0.0,0.16666666666666663,0.0
vitrine,arbitre,9,0.36363636363636365,0.2857142857142857,0.0,0.16666666666666663,0.125
vitrine,sortir,9,0.36363636363636365,0.0,0.16666666666666666,0.16666666666666663,0.2857142857142857
arbitre,sortir,9,0.36363636363636365,0.14285714285714285,0.16666666666666666,0.33333333333333337,0.2857142857142857
fierté,traître,10,0.45454545454545453,0.0,0.16666666666666666,0.33333333333333337,0.2222222222222222
fierté,retrait,10,0.36363636363636365,0.14285714285714285,0.16666666666666666,0.33333333333333337,0.2857142857142857
traître,retrait,10,0.4444444444444444,0.3333333333333333,0.0,0.4,0.4285714285714286
western,maîtresse,11,0.38461538461538464,0.125,0.2857142857142857,0.2857142857142857,0.375
western,internet,11,0.46153846153846156,0.375,0.0,0.2857142857142857,0.30000000000000004
maîtresse,internet,11,0.38461538461538464,0.125,0.14285714285714285,0.2857142857142857,0.25
parage,appart,12,0.4444444444444444,0.3333333333333333,0.0,0.4,0.33333333333333337
parage,pratique,12,0.36363636363636365,0.2857142857142857,0.16666666666666666,0.33333333333333337,0.33333333333333337
appart,pratique,12,0.36363636363636365,0.0,0.16666666666666666,0.16666666666666663,0.1428571428571429
cassette,question,13,0.36363636363636365,0.14285714285714285,0.3333333333333333,0.33333333333333337,0.1428571428571429
cassette,sieste,13,0.4444444444444444,0.16666666666666666,0.2,0.19999999999999996,0.2857142857142857
question,sieste,13,0.36363636363636365,0.2857142857142857,0.0,0.33333333333333337,0.25
préparation,opération,14,0.6111111111111112,0.45454545454545453,0.2,0.6,0.6
préparation,coopération,14,0.6111111111111112,0.45454545454545453,0.6,0.6,0.5
opération,coopération,14,0.8235294117647058,0.7272727272727273,0.0,0.8,0.8
intéressant,restaurant,15,0.38461538461538464,0.375,0.14285714285714285,0.1428571428571429,0.25
intéressant,détresse,15,0.46153846153846156,0.25,0.42857142857142855,0.4285714285714286,0.2222222222222222
restaurant,détresse,15,0.38461538461538464,0.25,0.14285714285714285,0.2857142857142857,0.2222222222222222
portrait,intérêt,16,0.36363636363636365,0.2857142857142857,0.0,0.33333333333333337,0.25
portrait,traité,16,0.45454545454545453,0.42857142857142855,0.16666666666666666,0.33333333333333337,0.2857142857142857
intérêt,traité,16,0.5555555555555556,0.5,0.4,0.4,0.5
