item1,item2,triplet_number,open_biphone_1,closed_biphone,slot_coding,levenshtein,syllable
grange,orange,1,0.5714285714285714,0.6,0.75,0.75,0.4
grange,frangin,1,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
orange,frangin,1,0.3333333333333333,0.3333333333333333,0.6,0.6,0.0
briquet,fric,2,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
briquet,haricot,2,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
fric,haricot,2,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
aiguille,église,3,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
aiguille,exil,3,0.3333333333333333,0.3333333333333333,0.6,0.6,0.16666666666666663
église,exil,3,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
métro,lettre,4,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
métro,pétrin,4,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6
lettre,pétrin,4,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
crayon,oreille,5,0.3333333333333333,0.3333333333333333,0.6,0.6,0.0
crayon,oreiller,5,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
oreille,oreiller,5,0.6666666666666666,0.6666666666666666,0.8,0.8,0.5
prise,prison,6,0.6666666666666666,0.6666666666666666,0.8,0.8,0.5
prise,paysan,6,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
prison,paysan,6,0.3333333333333333,0.3333333333333333,0.6,0.6,0.2857142857142857
horizon,crise,7,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
horizon,brise,7,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
crise,brise,7,0.5714285714285714,0.6,0.75,0.75,0.75
sable,tableau,8,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
sable,câble,8,0.5714285714285714,0.6,0.75,0.75,0.75
tableau,câble,8,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
vitre,titre,9,0.5714285714285714,0.6,0.75,0.75,0.75
vitre,citron,9,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
titre,citron,9,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
complot,couple,10,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
complot,complet,10,0.6666666666666666,0.6666666666666666,0.8,0.8,0.8
couple,complet,10,0.3333333333333333,0.3333333333333333,0.6,0.6,0.1428571428571429
auberge,opéra,11,0.3333333333333333,0.3333333333333333,0.6,0.6,0.2857142857142857
auberge,horaire,11,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6
opéra,horaire,11,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
poète,poste,12,0.5714285714285714,0.6,0.75,0.75,0.33333333333333337
poète,portée,12,0.3333333333333333,0.3333333333333333,0.6,0.6,0.5
poste,portée,12,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
mark,marié,13,0.4444444444444444,0.5,0.6,0.6,0.2857142857142857
mark,parquet,13,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
marié,parquet,13,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
sortie,porte,14,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
sortie,tortue,14,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6
porte,tortue,14,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
parti,carte,15,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
parti,marteau,15,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6
carte,marteau,15,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
jardin,garde,16,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
jardin,pardon,16,0.3333333333333333,0.3333333333333333,0.6,0.6,0.6
garde,pardon,16,0.3333333333333333,0.3333333333333333,0.6,0.6,0.33333333333333337
