item1,item2,triplet_number,open_biphone_1,closed_biphone,slot_coding,levenshtein,syllable
émotion,permission,1,0.4,0.3333333333333333,0.0,0.625,0.625
émotion,démission,1,0.46153846153846156,0.5,0.0,0.7142857142857143,0.7142857142857143
permission,démission,1,0.6,0.5555555555555556,0.125,0.75,0.75
bazar,hasard,2,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8
bazar,rasoir,2,0.36363636363636365,0.42857142857142855,0.3333333333333333,0.6666666666666667,0.6666666666666667
hasard,rasoir,2,0.36363636363636365,0.42857142857142855,0.0,0.6666666666666667,0.6666666666666667
motel,cocktail,3,0.45454545454545453,0.42857142857142855,0.16666666666666666,0.6666666666666667,0.6666666666666667
motel,autel,3,0.6666666666666666,0.6666666666666666,0.0,0.8,0.8
cocktail,autel,3,0.45454545454545453,0.42857142857142855,0.0,0.6666666666666667,0.6666666666666667
évènement,vêtement,4,0.46153846153846156,0.5,0.0,0.7142857142857143,0.7142857142857143
évènement,sous-vêtement,4,0.4,0.4444444444444444,0.0,0.625,0.625
vêtement,sous-vêtement,4,0.6666666666666666,0.6666666666666666,0.0,0.75,0.75
supporter,porteur,5,0.6666666666666666,0.6666666666666666,0.0,0.75,0.75
supporter,imposteur,5,0.4,0.4444444444444444,0.0,0.625,0.625
porteur,imposteur,5,0.46153846153846156,0.5,0.0,0.7142857142857143,0.7142857142857143
département,appartement,6,0.7058823529411765,0.7,0.0,0.7777777777777778,0.7777777777777778
département,parlement,6,0.47058823529411764,0.5,0.0,0.6666666666666667,0.6666666666666667
appartement,parlement,6,0.5333333333333333,0.5555555555555556,0.0,0.75,0.75
ouverture,couverture,7,0.8,0.7777777777777778,0.0,0.875,0.875
ouverture,vertu,7,0.5384615384615384,0.5,0.0,0.7142857142857143,0.7142857142857143
couverture,vertu,7,0.4666666666666667,0.4444444444444444,0.0,0.625,0.625
affection,fonction,8,0.5384615384615384,0.5,0.0,0.7142857142857143,0.7142857142857143
affection,effraction,8,0.4,0.4444444444444444,0.125,0.625,0.625
fonction,effraction,8,0.4,0.4444444444444444,0.0,0.625,0.625
confirmation,information,9,0.5789473684210527,0.5454545454545454,0.0,0.7,0.7
confirmation,formation,9,0.5789473684210527,0.5454545454545454,0.0,0.7,0.7
information,formation,9,0.8235294117647058,0.8,0.0,0.8888888888888888,0.8888888888888888
homicide,missile,10,0.45454545454545453,0.42857142857142855,0.0,0.6666666666666667,0.6666666666666667
homicide,domicile,10,0.5384615384615384,0.5,0.0,0.7142857142857143,0.7142857142857143
missile,domicile,10,0.6153846153846154,0.625,0.14285714285714285,0.7142857142857143,0.7142857142857143
torture,ordure,11,0.4,0.42857142857142855,0.0,0.6666666666666667,0.6666666666666667
torture,morsure,11,0.36363636363636365,0.42857142857142855,0.6666666666666666,0.6666666666666667,0.6666666666666667
ordure,morsure,11,0.36363636363636365,0.42857142857142855,0.0,0.6666666666666667,0.6666666666666667
mutation,réputation,12,0.5882352941176471,0.6,0.0,0.6666666666666667,0.6666666666666667
mutation,éducation,12,0.4666666666666667,0.4444444444444444,0.0,0.625,0.625
réputation,éducation,12,0.47058823529411764,0.4,0.0,0.6666666666666667,0.6666666666666667
déposition,position,13,0.7058823529411765,0.7,0.0,0.7777777777777778,0.7777777777777778
déposition,opposition,13,0.7058823529411765,0.7,0.0,0.7777777777777778,0.7777777777777778
position,opposition,13,0.8,0.7777777777777778,0.0,0.875,0.875
commission,mission,14,0.6153846153846154,0.625,0.0,0.7142857142857143,0.7142857142857143
commission,audition,14,0.5384615384615384,0.5,0.0,0.7142857142857143,0.7142857142857143
mission,audition,14,0.5454545454545454,0.5714285714285714,0.0,0.6666666666666667,0.6666666666666667
possession,protection,15,0.47058823529411764,0.4,0.1111111111111111,0.6666666666666667,0.6666666666666667
possession,collection,15,0.4,0.3333333333333333,0.25,0.625,0.625
protection,collection,15,0.5294117647058824,0.5,0.0,0.6666666666666667,0.6666666666666667
détention,attention,16,0.6153846153846154,0.625,0.0,0.7142857142857143,0.7142857142857143
détention,tension,16,0.6153846153846154,0.625,0.0,0.7142857142857143,0.7142857142857143
attention,tension,16,0.7272727272727273,0.7142857142857143,0.0,0.8333333333333334,0.8333333333333334
