parameter_name,parameter_value,error,metric,ID
alpha,5.994660558319581,704.7889525220822,slot_coding,1
gamma,0.5970016822154434,704.7889525220822,slot_coding,1
delta,0.12004301358842416,704.7889525220822,slot_coding,1
overlap,0.457917046675429,704.7889525220822,slot_coding,1
sigma,0.33221963175908725,704.7889525220822,slot_coding,1
tau,0.9138037896057918,704.7889525220822,slot_coding,1
b,1.5621109891940967,704.7889525220822,slot_coding,1
base,0.00018655782937941024,704.7889525220822,slot_coding,1
theta,1.6154477587527631,704.7889525220822,slot_coding,1
sim_ELI,0.45565137190417854,704.7889525220822,slot_coding,1
alpha,2.778228536003927,632.8773749947952,slot_coding,2
gamma,0.3464899828476905,632.8773749947952,slot_coding,2
delta,0.001046193250111176,632.8773749947952,slot_coding,2
overlap,0.18143039059792426,632.8773749947952,slot_coding,2
sigma,0.6958585614317548,632.8773749947952,slot_coding,2
tau,1.5368974396783255,632.8773749947952,slot_coding,2
b,4.426082160483339,632.8773749947952,slot_coding,2
base,0.47264919606172495,632.8773749947952,slot_coding,2
theta,1.9998645391252157,632.8773749947952,slot_coding,2
sim_ELI,0.3107809602707989,632.8773749947952,slot_coding,2
alpha,2.329019271852344,449.4289752952937,slot_coding,3
gamma,0.2203798556507911,449.4289752952937,slot_coding,3
delta,0.0010002600731274707,449.4289752952937,slot_coding,3
overlap,0.3375637111592834,449.4289752952937,slot_coding,3
sigma,0.5394638429829823,449.4289752952937,slot_coding,3
tau,1.6000311928218574,449.4289752952937,slot_coding,3
b,4.156779764025015,449.4289752952937,slot_coding,3
base,0.8378924952708087,449.4289752952937,slot_coding,3
theta,1.9999634333348524,449.4289752952937,slot_coding,3
sim_ELI,0.4944506286228073,449.4289752952937,slot_coding,3
alpha,3.3320915420962067,594.7383014462374,slot_coding,4
gamma,0.18194463952308937,594.7383014462374,slot_coding,4
delta,0.0010003794591751244,594.7383014462374,slot_coding,4
overlap,0.383584499971574,594.7383014462374,slot_coding,4
sigma,0.9080117751056117,594.7383014462374,slot_coding,4
tau,9.995884274378184,594.7383014462374,slot_coding,4
b,6.4464721460236625,594.7383014462374,slot_coding,4
base,2.4728016770796485e-6,594.7383014462374,slot_coding,4
theta,1.9999952562528256,594.7383014462374,slot_coding,4
sim_ELI,0.13611791471959783,594.7383014462374,slot_coding,4
alpha,5.995868763405596,697.6675181369958,slot_coding,5
gamma,0.4304751022634288,697.6675181369958,slot_coding,5
delta,0.1749444670718035,697.6675181369958,slot_coding,5
overlap,0.368748812297753,697.6675181369958,slot_coding,5
sigma,0.5136007978264232,697.6675181369958,slot_coding,5
tau,1.236186658435186,697.6675181369958,slot_coding,5
b,3.3402711674432397,697.6675181369958,slot_coding,5
base,0.1758611413086667,697.6675181369958,slot_coding,5
theta,1.2679274021246547,697.6675181369958,slot_coding,5
sim_ELI,0.24710519272274534,697.6675181369958,slot_coding,5
alpha,5.99902831268663,845.6416610134755,slot_coding,6
gamma,0.3991345479321167,845.6416610134755,slot_coding,6
delta,0.21025870534929333,845.6416610134755,slot_coding,6
overlap,0.42433644356132016,845.6416610134755,slot_coding,6
sigma,0.5128676177964259,845.6416610134755,slot_coding,6
tau,1.4258704667835886,845.6416610134755,slot_coding,6
b,5.003100238506729,845.6416610134755,slot_coding,6
base,0.7033660586502919,845.6416610134755,slot_coding,6
theta,1.916531069412175,845.6416610134755,slot_coding,6
sim_ELI,0.506588745614107,845.6416610134755,slot_coding,6
alpha,1.5587788675423595,599.920694512498,slot_coding,7
gamma,0.3449374479770035,599.920694512498,slot_coding,7
delta,0.0010018681324973227,599.920694512498,slot_coding,7
overlap,0.4983188811944995,599.920694512498,slot_coding,7
sigma,0.3571369860908928,599.920694512498,slot_coding,7
tau,0.8877568152840765,599.920694512498,slot_coding,7
b,3.2775255979114877,599.920694512498,slot_coding,7
base,0.5075485619173488,599.920694512498,slot_coding,7
theta,1.999800097293713,599.920694512498,slot_coding,7
sim_ELI,0.3881833460972605,599.920694512498,slot_coding,7
alpha,5.998863622105038,734.8046834460554,slot_coding,8
gamma,0.4814208824999933,734.8046834460554,slot_coding,8
delta,0.23585649110278678,734.8046834460554,slot_coding,8
overlap,0.4462636483063534,734.8046834460554,slot_coding,8
sigma,0.3793067970689353,734.8046834460554,slot_coding,8
tau,0.8116350606496422,734.8046834460554,slot_coding,8
b,5.437032411580124,734.8046834460554,slot_coding,8
base,0.5488813881515168,734.8046834460554,slot_coding,8
theta,1.4113634440400187,734.8046834460554,slot_coding,8
sim_ELI,0.40601533108392646,734.8046834460554,slot_coding,8
alpha,5.199694000906168,929.2471807801775,slot_coding,9
gamma,0.5141352766790018,929.2471807801775,slot_coding,9
delta,0.1798752739113001,929.2471807801775,slot_coding,9
overlap,0.35653192708544296,929.2471807801775,slot_coding,9
sigma,0.495966953022291,929.2471807801775,slot_coding,9
tau,1.217502607570267,929.2471807801775,slot_coding,9
b,2.3484321840446856,929.2471807801775,slot_coding,9
base,9.211219564592077e-9,929.2471807801775,slot_coding,9
theta,1.1712825866650478,929.2471807801775,slot_coding,9
sim_ELI,0.3228956985047566,929.2471807801775,slot_coding,9
alpha,5.996591571133656,616.1629801114153,slot_coding,10
gamma,0.46835481844347554,616.1629801114153,slot_coding,10
delta,0.266112489489201,616.1629801114153,slot_coding,10
overlap,0.2751648954082823,616.1629801114153,slot_coding,10
sigma,0.23781536091108646,616.1629801114153,slot_coding,10
tau,0.6334303781650119,616.1629801114153,slot_coding,10
b,2.112069338409712,616.1629801114153,slot_coding,10
base,0.7588054629794225,616.1629801114153,slot_coding,10
theta,1.993721486292321,616.1629801114153,slot_coding,10
sim_ELI,0.6071490141601732,616.1629801114153,slot_coding,10
alpha,3.3689120289483987,265.7716135552825,slot_coding,11
gamma,0.1259180626041235,265.7716135552825,slot_coding,11
delta,0.0010000000098915195,265.7716135552825,slot_coding,11
overlap,0.3411276244003747,265.7716135552825,slot_coding,11
sigma,0.5862458056957521,265.7716135552825,slot_coding,11
tau,9.98962139431507,265.7716135552825,slot_coding,11
b,6.167879125921733,265.7716135552825,slot_coding,11
base,2.1035906504045247e-12,265.7716135552825,slot_coding,11
theta,1.9999999982104748,265.7716135552825,slot_coding,11
sim_ELI,0.3309248439525875,265.7716135552825,slot_coding,11
alpha,5.998209835489374,587.7611681923479,slot_coding,12
gamma,0.5164060398579058,587.7611681923479,slot_coding,12
